,user_id,location_id,latitude,longitude,previous,categorie,categorie_id,borough_id,area_id
7724,11,1020,-73.90067339,40.64365659,1077,Neighborhood,4,3,39
7725,76,3430,-73.98423398,40.75459739,3420,Clothing Store,75,1,164
7726,77,3479,-73.9422306,40.78664539,1080,Department Store,38,1,75
7727,9,911,-73.94684494,40.82763613,931,Arcade,120,1,116
7728,136,4698,-73.98929007,40.72926996,4703,Korean Restaurant,169,1,79
7730,76,3431,-73.94961256,40.65643168,3430,Medical Center,23,3,188
7731,102,1149,-73.99042064,40.75719228,1149,Road,11,1,48
7732,77,3457,-73.94554276,40.78914409,3479,Residential Building (Apartment / Condo),17,1,75
7733,98,3941,-73.98781515,40.71945037,3970,Bar,151,1,148
7734,214,5808,-73.983272,40.643109,5809,Event Space,132,3,133
7735,227,5942,-73.9104551,40.88584772,5947,Drugstore / Pharmacy,7,2,220
7737,93,3869,-73.95639896,40.71411847,439,BBQ Joint,168,3,255
7738,76,3426,-73.94359106,40.65576923,3431,Coffee Shop,63,3,71
7739,52,2696,-73.78486996,40.66564833,2696,Hotel,40,4,219
7740,80,3545,-74.00176042,40.60790819,941,Subway,0,3,22
7743,214,717,-73.99083853,40.7369497,5808,Brewery,172,1,234
7745,86,3682,-73.88855082,40.70144901,3689,Road,11,4,102
7747,40,2286,-73.98887973,40.60259049,227,Home (private),6,3,21
7749,93,3870,-73.95600123,40.71406102,3869,Bar,151,3,255
7750,79,3522,-73.90887022,40.66263818,3524,Train Station,37,3,35
7751,83,3619,-73.98197849,40.74355232,3626,College Academic Building,277,1,170
7753,214,1111,-73.98858547,40.75671743,717,Arcade,120,1,100
7755,2,186,-73.97815704,40.63554789,188,Subway,0,3,133
7756,213,3995,-74.00332704,40.74359714,1080,Bar,44,1,68
7757,102,732,-73.99515152,40.74481848,1149,Food & Drink Shop,27,1,90
7758,2,234,-73.98977637,40.67026755,186,Subway,0,3,106
7759,76,3432,-73.94352791,40.64332039,3426,Deli / Bodega,9,3,71
7761,80,184,-73.98124695,40.57745558,3545,Subway,0,3,55
7763,6,684,-73.98239171,40.74446108,689,Deli / Bodega,9,1,170
7765,182,5401,-73.93010371,40.59424065,5406,Home (private),6,3,210
7768,86,3683,-73.87130988,40.71448092,3682,Home (private),6,4,160
7771,0,5,-73.94822344,40.70402767,10,Bus Station,5,3,217
7772,10,983,-73.95706886,40.79337665,995,Taxi,175,1,43
7776,13,1191,-73.72801553,40.68351719,1202,Athletic & Sport,180,4,139
7778,25,1700,-73.79265423,40.78007738,286,Restaurant,42,4,15
7781,52,677,-73.98914337,40.75850534,2697,Hotel,40,1,48
7783,213,5009,-74.000588,40.742593,3995,Bar,200,1,68
7785,115,4292,-74.00607004,40.74415898,4287,Bar,44,1,68
7787,25,1701,-73.7927921,40.78012942,1700,Bar,65,4,15
7793,14,1239,-73.97928718,40.76224487,1243,Hotel,40,1,230
7794,214,1122,-73.98877356,40.75697438,1111,Movie Theater,122,1,230
7797,214,1426,-73.98789883,40.7567987,1122,Fast Food Restaurant,74,1,230
7800,213,4487,-74.004974,40.708226,5009,Bar,151,1,87
7801,214,247,-73.9791548,40.64510634,1426,Subway,0,3,133
7803,80,2392,-73.98163319,40.73059222,184,Subway,0,1,79
7804,52,2698,-73.97773325,40.74954093,2698,Hotel,40,1,170
7807,115,4293,-73.97712596,40.72955814,4292,Home (private),6,1,224
7808,6,690,-73.98600161,40.69343783,684,Building,31,3,65
7809,120,4406,-73.89236343,40.81494838,4406,Office,52,2,126
7810,47,2529,-73.98360729,40.76195099,220,Fast Food Restaurant,74,1,230
7811,47,2526,-73.98163414,40.76162534,2529,Office,52,1,230
7812,136,4695,-73.94701226,40.75706555,4698,Residential Building (Apartment / Condo),17,4,193
7814,37,2163,-74.00208235,40.71178449,2183,Government Building,217,1,45
7816,222,5415,-73.99307013,40.74611902,1090,Gym / Fitness Center,66,1,186
7817,190,1330,-74.00562286,40.75944803,1330,Ferry,216,1,246
7819,63,3030,-73.73625022,40.65756836,1149,Bus Station,30,4,203
7821,183,529,-73.975389,40.75566091,5430,Office,52,1,161
7822,80,184,-73.98124695,40.57745558,2392,Subway,0,3,55
7823,190,5512,-73.98228267,40.74748348,1330,Donut Shop,149,1,164
7824,3,321,-73.8707787,40.67297504,330,Gas Station / Garage,71,3,76
7826,230,2421,-73.98556262,40.74828059,5978,Building,31,1,164
7828,61,2985,-73.95099163,40.78577312,548,Subway,0,1,236
7829,172,1930,-73.97785664,40.68444569,5272,Train Station,21,3,181
7830,66,3161,-73.8824011,40.74313971,3155,Electronics Store,28,4,82
7834,16,1334,-73.955353,40.598891,1344,Bank,29,3,149
7836,136,997,-73.86145272,40.73009874,4693,Subway,0,4,196
7837,171,5253,-73.94768715,40.82517624,1405,Bus Station,30,1,116
7838,61,2989,-73.97707717,40.75505188,2985,Hotel,40,1,161
7839,39,2260,-73.99171189,40.69342491,2267,University,182,3,33
7842,75,3392,-73.97311126,40.60906918,3406,Subway,0,3,178
7843,171,5258,-73.94988656,40.81848618,5253,High School,50,1,152
7845,172,5270,-73.80793463,40.70114391,1930,Deli / Bodega,9,4,130
7847,61,382,-73.98368836,40.75372797,2989,Park,12,1,164
7848,148,4901,-73.99026569,40.74189765,4896,Sandwich Place,32,1,234
7849,21,1526,-74.00622498,40.65543162,1524,Deli / Bodega,9,3,228
7850,227,251,-73.98626804,40.75648987,5942,Plaza,35,1,230
7851,80,741,-73.81001472,40.69902344,184,Train Station,21,4,130
7853,11,1054,-73.85460725,40.68309028,1020,Automotive Shop,68,4,258
7854,66,3153,-73.99095436,40.75593488,3161,Bank,29,1,48
7856,60,2965,-73.96449043,40.76744588,2953,College Academic Building,265,1,237
7857,227,5943,-73.98656309,40.75688403,251,American Restaurant,41,1,230
7859,12,245,-73.94367142,40.70321958,1134,Residential Building (Apartment / Condo),17,3,80
7860,11,1056,-73.85069847,40.67985694,1054,Subway,0,4,180
7864,121,4413,-73.98232858,40.74610294,4416,Office,52,1,164
7865,136,4696,-73.85947146,40.72867965,997,General College & University,262,4,196
7868,26,220,-73.98802757,40.75650613,1732,Subway,0,1,230
7869,60,2950,-73.96591961,40.76852291,2965,Nursery School,235,1,237
7870,100,4005,-73.99661064,40.72917755,4013,College Academic Building,206,1,114
7875,76,3433,-73.9457494,40.64323949,3432,Church,160,3,71
7876,120,4401,-73.86524677,40.76724915,4406,Coffee Shop,63,4,70
7877,44,1755,-73.985457,40.758328,2406,Hotel,40,1,230
7878,111,4231,-73.81633261,40.70367736,1171,Elementary School,179,4,28
7879,20,179,-73.98109466,40.7588571,1513,Subway,0,1,161
7880,61,2987,-73.98321569,40.75271884,382,Deli / Bodega,9,1,164
7885,11,182,-73.98738384,40.69147465,1056,Subway,0,3,65
7888,120,4403,-73.97712596,40.60092327,4401,Home (private),6,3,21
7890,11,1068,-73.98740768,40.69371813,182,Office,52,3,65
7891,206,5687,-73.92165606,40.66394232,5687,Food & Drink Shop,27,3,35
7894,44,193,-73.91200304,40.77500059,1755,Subway,0,4,223
7897,17,1375,-73.98496284,40.78309733,1388,Athletic & Sport,178,1,239
7900,33,2027,-73.93518705,40.74480287,2011,Community College,237,4,226
7901,206,5694,-73.91961226,40.66191319,5687,Electronics Store,28,3,35
7902,17,1413,-73.986495,40.781191,1375,Other Great Outdoors,96,1,239
7907,105,4113,-73.98555397,40.75626948,4110,Office,52,1,230
7908,45,2441,-73.98362563,40.75045645,1509,Office,52,1,164
7909,225,5919,-73.98153,40.749978,5919,Office,52,1,170
7910,206,1993,-73.92295351,40.66479595,5694,Train Station,21,3,35
7914,17,1374,-73.98122549,40.77909533,1413,Clothing Store,227,1,142
7915,45,2442,-73.98271885,40.7515016,2441,Department Store,38,1,164
7917,93,3871,-73.98398146,40.74926222,3870,Office,52,1,164
7919,39,2259,-73.81592631,40.60837737,2260,Subway,0,4,30
7921,179,5361,-74.00504351,40.7111095,5361,University,182,1,209
7924,115,4294,-74.013553,40.702696,4293,Office,52,1,88
7926,4,364,-73.9737713,40.75371248,299,Library,87,1,162
7928,73,3329,-73.992438,40.604532,2291,Other Great Outdoors,96,3,22
7929,11,1033,-73.98809062,40.69592947,1068,College Academic Building,204,3,65
7931,35,2108,-73.84654401,40.78877966,2097,Park,12,4,53
7932,206,5689,-73.98788402,40.76082903,1993,Theater,326,1,48
7936,222,5883,-73.99025421,40.75243234,5415,Office,52,1,100
7940,47,251,-73.98626804,40.75648987,2526,Plaza,35,1,230
7941,40,2294,-73.99783442,40.59875643,2286,Office,52,3,11
7945,35,2104,-73.84579739,40.78413087,2108,Bank,29,4,53
7949,63,3044,-73.96146558,40.79849721,3030,Residential Building (Apartment / Condo),17,1,151
7952,35,2119,-73.84814501,40.78395345,2104,Convenience Store,15,4,53
7955,98,355,-74.00481906,40.74200515,3941,Food & Drink Shop,100,1,68
7956,10,966,-73.98931503,40.74137194,963,Subway,0,1,234
7958,45,1380,-73.98138,40.74697,2440,Coffee Shop,63,1,170
7959,75,3393,-73.98403311,40.75623467,3392,Office,52,1,230
7963,4,394,-73.97367373,40.75285676,364,Convention Center,112,1,162
7966,20,1485,-73.98124962,40.75988431,179,Bank,29,1,230
7967,17,1393,-73.98266719,40.77703357,1402,Drugstore / Pharmacy,7,1,142
7968,17,1378,-73.98229837,40.77789724,1393,Food Truck,33,1,143
7970,105,511,-73.98914047,40.75845677,4113,Burger Joint,73,1,48
7974,35,2102,-73.8477874,40.79012656,2119,Home (private),6,4,53
7977,226,5925,-73.91834636,40.76071686,5928,Home (private),6,4,7
7978,4,388,-73.97358763,40.75275225,394,Building,31,1,162
7980,235,6019,-73.99625703,40.61319053,6015,Food & Drink Shop,126,3,22
7982,2,235,-73.95790637,40.70841147,234,Subway,0,3,217
7983,31,1741,-73.98612787,40.75510831,1958,Café,49,1,100
7989,235,6011,-73.98887973,40.61249562,6019,Home (private),6,3,22
7991,63,3043,-73.96144836,40.7984262,3044,Residential Building (Apartment / Condo),17,1,151
7992,26,220,-73.98802757,40.75650613,1010,Subway,0,1,230
7993,105,511,-73.98914047,40.75845677,511,Burger Joint,73,1,48
7994,44,2416,-73.98302876,40.77222744,193,Plaza,35,1,142
7995,233,6001,-73.88063192,40.6612058,5999,Residential Building (Apartment / Condo),17,3,76
7996,244,6095,-73.98441763,40.74269664,6095,Building,31,1,107
7997,2,168,-73.99621367,40.73822397,235,Subway,0,1,90
7998,36,1380,-73.98138,40.74697,2150,Coffee Shop,63,1,170
7999,17,1384,-73.99920099,40.74160136,1378,Furniture / Home Store,62,1,90
8000,0,0,-74.004252,40.7255768,38,Subway,0,1,125
8002,75,1986,-73.983663,40.755779,3393,Coffee Shop,63,1,230
8003,47,2525,-73.94186034,40.68499609,251,Home (private),6,3,17
8005,45,2444,-73.98124962,40.74731746,2428,Deli / Bodega,9,1,164
8006,2,204,-74.00015652,40.71814377,168,Subway,0,1,231
8010,4,401,-73.92162949,40.76688552,388,Diner,14,4,7
8011,215,5825,-73.9893245,40.74774305,5825,Government Building,125,1,186
8012,206,5684,-73.98659691,40.761538,5689,Chinese Restaurant,10,1,230
8014,25,1688,-73.792836,40.780227,1701,Road,11,4,15
8015,63,224,-73.97717535,40.75280621,3043,Train Station,21,1,162
8016,121,695,-73.9822138,40.74562565,4413,Bank,29,1,170
8018,10,967,-73.99256124,40.74287573,966,Drugstore / Pharmacy,7,1,234
8023,10,976,-73.99044933,40.74204094,967,Sandwich Place,32,1,234
8025,11,1069,-73.98798466,40.69633916,1033,College Academic Building,206,3,65
8028,36,304,-73.987813,40.74970348,1380,Subway,0,1,164
8029,2,204,-74.00015652,40.71814377,204,Subway,0,1,231
8031,17,1385,-73.99817951,40.74115767,1384,Clothing Store,75,1,90
8032,215,5826,-74.000212,40.73454596,5825,Government Building,125,1,249
8034,150,2463,-73.95514023,40.77936068,4928,Cosmetics Shop,99,1,236
8036,4,417,-73.91265975,40.76583537,401,Residential Building (Apartment / Condo),17,4,7
8038,235,6015,-73.99343929,40.61611861,6011,Deli / Bodega,9,3,22
8039,143,4815,-74.01163053,40.70635594,4820,Building,31,1,88
8041,4,392,-73.91299274,40.76652111,417,Moroccan Restaurant,111,4,7
8043,9,929,-73.85954899,40.82141255,740,Home (private),6,2,213
8045,6,689,-73.98389161,40.74379023,705,Deli / Bodega,9,1,164
8046,2,216,-73.9881134,40.71860728,204,Subway,0,1,148
8047,63,2988,-73.98540974,40.74111615,224,Taco Place,186,1,107
8051,230,5971,-73.98887973,40.75099148,2421,Home (private),6,1,100
8053,127,2416,-73.98302876,40.77222744,4518,Plaza,35,1,142
8054,40,194,-73.99352074,40.60189765,2294,Subway,0,3,22
8056,11,1035,-73.99061002,40.69572209,1069,Park,12,3,65
8057,69,3223,-73.977265,40.754525,3239,Mediterranean Restaurant,261,1,161
8058,86,3684,-73.86924546,40.70887663,3667,Mall,142,4,102
8059,239,6055,-74.07663997,40.63782797,6050,Bus Station,5,5,206
8062,25,1702,-73.99970599,40.74383224,1688,Neighborhood,4,1,68
8064,143,4821,-74.007739,40.708971,4815,Government Building,196,1,87
8067,86,3684,-73.86924546,40.70887663,3684,Mall,142,4,102
8069,239,6049,-74.13488388,40.62629821,6055,Food & Drink Shop,27,5,251
8070,93,1435,-73.98399867,40.74907894,3871,Coffee Shop,63,1,170
8073,172,5269,-73.80885946,40.69967673,5269,Building,31,4,130
8074,3,327,-73.87084187,40.67295591,321,Deli / Bodega,9,3,76
8075,206,251,-73.98626804,40.75648987,5684,Plaza,35,1,230
8076,33,2024,-73.97605687,40.76537006,2027,Hotel,40,1,163
8077,213,2455,-73.95094872,40.78580561,4487,Coffee Shop,63,1,236
8078,13,1189,-73.75119,40.67952991,1191,Post Office,47,4,139
8079,2,236,-73.98820996,40.71882683,216,Fast Food Restaurant,74,1,148
8081,143,4817,-73.98891,40.736676,4821,Office,52,1,107
8084,86,3685,-73.86868,40.70819798,3684,Movie Theater,122,4,102
8088,17,1387,-73.984541,40.78321,1385,Park,12,1,239
8089,9,921,-73.989999,40.69321652,929,Subway,0,3,65
8090,226,5926,-73.93837452,40.76750917,5925,Food & Drink Shop,27,4,193
8092,36,537,-73.97312274,40.76392077,304,Electronics Store,28,1,163
8093,231,5985,-74.00222524,40.73024511,5984,Cupcake Shop,223,1,249
8094,45,2438,-73.9820531,40.74034365,2444,Food & Drink Shop,27,1,107
8099,136,4699,-73.95321733,40.75903231,4696,Drugstore / Pharmacy,7,1,202
8100,3,338,-73.87088206,40.67401428,327,Salon / Barbershop,70,3,76
8101,6,694,-73.98270737,40.74424119,689,Gym / Fitness Center,66,1,170
8102,20,179,-73.98109466,40.7588571,1485,Subway,0,1,161
8103,63,1213,-73.79992962,40.70253725,2988,Bus Station,30,4,130
8105,172,186,-73.97815704,40.63554789,5269,Subway,0,3,133
8107,233,6000,-73.8711577,40.65057338,5998,Clothing Store,195,3,76
8108,227,961,-73.99140199,40.74181917,5943,Office,76,1,234
8109,171,5259,-73.94476891,40.82400715,5258,Bus Station,30,1,116
8110,77,3480,-73.97866696,40.76305524,3478,Office,52,1,163
8111,226,5927,-73.93789084,40.76777114,5926,Food & Drink Shop,126,4,193
8112,17,1414,-73.98125536,40.7808997,1387,Coffee Shop,63,1,239
8113,150,4924,-73.88818908,40.86810091,2463,Residential Building (Apartment / Condo),17,2,18
8114,124,4461,-73.9488893,40.78276403,4482,Residential Building (Apartment / Condo),17,1,263
8115,11,1055,-73.98716664,40.69382563,1035,Government Building,196,3,65
8117,244,6097,-73.98034856,40.75103858,6095,Fraternity House,337,1,170
8118,183,214,-73.95525232,40.77953912,5414,Electronics Store,28,1,236
8122,111,2199,-73.89198303,40.68779755,4231,Road,11,4,96
8123,84,3637,-73.99236038,40.68985205,3635,Bus Station,30,3,33
8124,11,1056,-73.85069847,40.67985694,1055,Subway,0,4,180
8125,183,5426,-73.92185211,40.83592439,214,Bus Station,30,2,247
8127,214,251,-73.98626804,40.75648987,3802,Plaza,35,1,230
8129,69,3222,-73.98122092,40.75531235,3223,Gym / Fitness Center,66,1,161
8130,21,953,-73.99154663,40.7572213,1533,Bus Station,30,1,48
8135,235,6013,-73.99143069,40.61456201,6015,Spanish Restaurant,145,3,22
8136,98,3941,-73.98781515,40.71945037,355,Bar,151,1,148
8137,21,1556,-73.9964819,40.76000064,953,Bar,200,1,246
8138,165,5162,-73.97760519,40.74551114,1080,Peruvian Restaurant,323,1,170
8141,11,1026,-73.88456013,40.64948659,1056,Building,31,3,222
8142,31,1957,-73.99123556,40.75045695,1741,Train Station,219,1,186
8144,36,2155,-73.82696629,40.85196219,537,Park,12,2,184
8145,143,4824,-74.12446338,40.61285778,2218,Bank,29,5,251
8146,93,691,-73.98157101,40.74618839,1435,Gym / Fitness Center,106,1,170
8150,66,3162,-73.88336578,40.74343084,3153,Coffee Shop,63,4,82
8151,11,1038,-73.89276087,40.63730038,1026,Drugstore / Pharmacy,7,3,39
8156,11,1055,-73.98716664,40.69382563,1038,Government Building,196,3,65
8162,136,4695,-73.94701226,40.75706555,4699,Residential Building (Apartment / Condo),17,4,193
8165,136,4691,-73.95339489,40.75923674,4695,Subway,0,1,202
8168,63,1213,-73.79992962,40.70253725,1213,Bus Station,30,4,130
8172,216,3132,-73.98334441,40.76609349,5836,Fast Food Restaurant,74,1,48
8173,136,997,-73.86145272,40.73009874,4691,Subway,0,4,196
8174,51,2660,-73.81835451,40.70888267,2672,Donut Shop,149,4,28
8175,23,1646,-74.01203221,40.71173704,1638,Building,31,1,261
8176,60,296,-73.88464451,40.8796783,2408,Subway,0,2,174
8177,10,960,-73.94186034,40.80356164,976,Home (private),6,1,74
8179,188,5496,-73.98957253,40.77089748,5493,College Academic Building,206,1,143
8180,120,4401,-73.86524677,40.76724915,4403,Coffee Shop,63,4,70
8181,45,2475,-73.981566,40.740837,2438,Deli / Bodega,9,1,137
8182,63,3067,-73.977499,40.77693,1213,BBQ Joint,168,1,142
8183,75,3381,-73.97174527,40.60247951,1986,School,51,3,123
8185,16,1335,-73.97569973,40.75270452,1338,Office,52,1,162
8187,37,2174,-73.92903306,40.8080489,1478,Office,102,2,168
8188,237,2991,-73.9942503,40.75102831,92,Post Office,47,1,186
8192,51,2668,-73.94451141,40.79357114,62,Neighborhood,4,1,75
8193,45,2441,-73.98362563,40.75045645,2475,Office,52,1,164
8194,237,6038,-73.9928813,40.753018,2991,Food & Drink Shop,185,1,68
8196,13,1171,-73.73587671,40.67483799,1189,School,51,4,139
8197,17,1375,-73.98496284,40.78309733,1414,Athletic & Sport,178,1,239
8198,33,284,-73.94554138,40.74663922,2010,Subway,0,4,145
8199,45,2476,-73.98453241,40.75401803,2441,Bar,65,1,164
8202,100,4000,-73.9960221,40.72908585,4000,College Academic Building,206,1,114
8204,216,473,-73.92409712,40.76339949,3132,Building,31,4,7
8205,211,5770,-73.98365433,40.74477609,5774,School,51,1,164
8206,75,220,-73.98802757,40.75650613,3381,Subway,0,1,230
8208,13,1217,-73.736631,40.67457911,1171,Tattoo Parlor,129,4,139
8209,51,2675,-73.95309448,40.7977622,2668,Park,12,1,43
8212,34,973,-73.937624,40.803894,2056,Subway,0,1,74
8214,13,1173,-73.73220921,40.6741287,1217,Office,52,4,203
8217,51,2665,-73.95453754,40.77801771,2675,Toy / Game Store,123,1,263
8219,34,2071,-73.91185391,40.84841002,973,Subway,0,2,235
8222,13,1210,-73.72899245,40.67394769,1173,Fast Food Restaurant,74,4,203
8224,17,1377,-73.98412228,40.77729173,1375,Playground,228,1,143
8225,205,5676,-73.93542241,40.75013194,3190,Train Station,21,4,226
8227,136,4708,-73.87776173,40.84852098,4696,Zoo,234,2,31
8228,250,6156,-73.96537147,40.66855421,6156,Home (private),6,3,190
8230,45,2470,-73.97971725,40.74627504,2476,Deli / Bodega,9,1,170
8233,60,2974,-73.96729946,40.77228688,2950,Playground,228,1,43
8235,13,1224,-73.761636,40.68066367,1210,Food & Drink Shop,27,4,205
8236,35,2141,-73.84895612,40.78962851,2102,Bus Station,5,4,53
8240,63,3068,-73.98024,40.784233,3067,Financial or Legal Service,289,1,239
8241,17,1391,-73.98446928,40.77505316,1377,Chinese Restaurant,10,1,143
8242,35,2142,-73.8364432,40.7715858,2141,Movie Theater,194,4,53
8248,106,4116,-73.98651239,40.75503607,4135,Coffee Shop,63,1,100
8249,21,1527,-74.00862938,40.65553514,1571,Office,52,3,228
8250,45,2467,-73.970181,40.7582496,2470,Miscellaneous Shop,25,1,162
8252,239,6058,-74.07713903,40.63757225,6049,Taco Place,186,5,221
8254,196,2587,-73.873511,40.841927,5578,Subway,0,2,78
8257,237,6035,-73.99410499,40.7524276,6038,Mexican Restaurant,88,1,68
8259,196,5576,-73.85069847,40.90300407,2587,Subway,0,2,259
8261,16,1362,-73.97068977,40.75842407,1335,Sandwich Place,32,1,162
8262,75,3393,-73.98403311,40.75623467,220,Office,52,1,230
8263,63,3044,-73.96146558,40.79849721,3068,Residential Building (Apartment / Condo),17,1,151
8264,60,2950,-73.96591961,40.76852291,2974,Nursery School,235,1,237
8265,196,5581,-73.87795665,40.89553461,5576,Other Great Outdoors,1,2,240
8266,100,4033,-73.99431159,40.73136899,4000,Thai Restaurant,152,1,113
8268,45,537,-73.97312274,40.76392077,2467,Electronics Store,28,1,163
8269,136,4696,-73.85947146,40.72867965,4708,General College & University,262,4,196
8271,11,1104,-73.98827427,40.69647536,1033,Flea Market,208,3,65
8273,17,1414,-73.98125536,40.7808997,1391,Coffee Shop,63,1,239
8274,51,2670,-73.95497377,40.77731921,2573,Drugstore / Pharmacy,7,1,263
8275,205,5678,-74.01170513,40.71328429,94,Office,52,1,231
8278,75,537,-73.97312274,40.76392077,3393,Electronics Store,28,1,163
8279,51,2674,-73.95449162,40.77807781,2670,Bank,29,1,263
8281,33,2054,-73.982454,40.767213,2029,Bank,29,1,163
8282,35,2143,-73.83479887,40.77166717,2142,Toy / Game Store,123,4,53
8283,11,1105,-73.98717238,40.69684128,1104,College Academic Building,205,3,65
8287,17,1434,-73.98171902,40.78055768,1414,Food & Drink Shop,27,1,239
8288,136,4709,-73.93994018,40.75052332,4696,Government Building,55,4,146
8289,35,2131,-73.83078575,40.76464888,2143,Bus Station,5,4,92
8291,25,1689,-73.78896895,40.78168478,1702,Home (private),6,4,15
8292,45,2462,-73.90249729,40.80601359,537,Office,52,2,168
8295,239,1882,-74.07295704,40.64440554,6058,Ferry,248,5,206
8296,136,4697,-73.95249367,40.75876539,4709,American Restaurant,41,1,202
8297,11,182,-73.98738384,40.69147465,1105,Subway,0,3,65
8298,237,1193,-73.97921219,40.7558988,6035,Bookstore,163,1,161
8299,59,92,-73.99357639,40.7507948,2914,Train Station,21,1,186
8301,79,270,-73.9622459,40.66161146,3524,Subway,0,3,188
8303,55,403,-73.95445704,40.75673368,2800,Bridge,82,1,202
8304,106,4150,-73.95553055,40.64554765,4116,Electronics Store,28,3,85
8306,100,4000,-73.9960221,40.72908585,4033,College Academic Building,206,1,114
8307,55,2786,-73.91768932,40.74693184,403,Neighborhood,4,4,226
8308,218,5849,-73.96154881,40.80861224,5849,College Academic Building,206,1,166
8311,216,5840,-73.929934,40.7568221,473,Food & Drink Shop,27,4,7
8312,63,2371,-73.96300384,40.79914338,3044,Deli / Bodega,9,1,151
8314,17,1403,-73.98419954,40.77998124,1434,Deli / Bodega,9,1,143
8316,216,5838,-73.92671378,40.76251244,5840,Laundry Service,19,4,7
8318,55,2785,-73.91636855,40.7429291,2786,Park,12,4,226
8320,106,4131,-73.975845,40.638219,4150,Cosmetics Shop,99,3,133
8321,170,5246,-74.00426816,40.7131015,5246,Government Building,55,1,231
8326,188,5498,-73.9086064,40.75451707,5496,Building,31,4,260
8327,35,2112,-73.846969,40.78969237,2131,Deli / Bodega,9,4,53
8328,36,1040,-73.97264242,40.7648764,2155,Subway,0,1,43
8330,63,1213,-73.79992962,40.70253725,2371,Bus Station,30,4,130
8331,13,1185,-73.98304598,40.76376764,1224,General Entertainment,18,1,230
8332,17,1378,-73.98229837,40.77789724,1403,Food Truck,33,1,143
8336,237,5727,-73.99336294,40.75261955,1193,Hotel,40,1,68
8337,13,1090,-73.97698575,40.76139684,1185,Art Museum,137,1,161
8340,211,5774,-73.97737562,40.78462731,5770,Diner,14,1,239
8344,59,2925,-73.98775202,40.73365025,92,Food & Drink Shop,27,1,107
8345,16,306,-73.9758855,40.751633,1362,Subway,0,1,162
8346,216,473,-73.92409712,40.76339949,5838,Building,31,4,7
8347,100,4034,-73.99366001,40.73106001,4000,Burger Joint,73,1,113
8349,34,2058,-73.95084668,40.80668052,2056,College Academic Building,206,1,41
8350,59,177,-73.99040315,40.7352825,2925,Park,12,1,234
8351,188,416,-73.92148733,40.7666966,5498,Subway,0,4,7
8352,36,2093,-73.95584619,40.77950086,1040,Subway,0,1,236
8354,11,1020,-73.90067339,40.64365659,1076,Neighborhood,4,3,39
8355,10,1017,-73.98652387,40.74586783,961,Deli / Bodega,9,1,164
8356,170,5248,-73.95829145,40.77157537,5246,College Academic Building,295,1,141
8357,13,1212,-73.97781181,40.76053836,1090,Steakhouse,60,1,161
8359,59,2918,-73.98887973,40.7312265,177,Home (private),6,1,79
8361,196,5577,-73.92373428,40.67595516,5581,Residential Building (Apartment / Condo),17,3,61
8362,188,5493,-73.93010371,40.77226863,416,Home (private),6,4,179
8367,97,962,-73.939147,40.80514464,3935,Train Station,21,1,74
8368,21,953,-73.99154663,40.7572213,1527,Bus Station,30,1,48
8369,37,2081,-73.90973744,40.81235649,2166,Neighborhood,4,2,168
8371,75,3415,-74.00135482,40.6257914,537,Gas Station / Garage,71,3,67
8372,79,3528,-73.90927814,40.65649406,3521,Deli / Bodega,9,3,35
8373,188,5499,-73.9249456,40.76880299,5493,Pizza Place,2,4,179
8375,37,855,-73.9201355,40.82507881,2081,City,53,2,69
8376,23,92,-73.99357639,40.7507948,1648,Train Station,21,1,186
8378,100,4000,-73.9960221,40.72908585,4034,College Academic Building,206,1,114
8379,59,2934,-73.99305479,40.73582642,2918,Food & Drink Shop,27,1,234
8380,79,3529,-73.90746961,40.65490435,3528,Donut Shop,149,3,35
8381,10,983,-73.95706886,40.79337665,1017,Taxi,175,1,43
8382,81,1930,-73.97785664,40.68444569,741,Train Station,21,3,181
8385,10,1018,-73.99927559,40.72820507,983,Bar,151,1,114
8388,51,2688,-73.95507135,40.77937325,2674,College Academic Building,150,1,236
8389,17,1405,-73.98201942,40.7784129,1378,Subway,0,1,143
8390,25,286,-73.80902767,40.77943655,1689,Other Great Outdoors,1,4,252
8393,23,1620,-73.78896895,40.7619429,92,Home (private),6,4,9
8395,170,3238,-73.95629971,40.77153206,5248,Bar,151,1,141
8396,81,3560,-73.96537147,40.63886447,1930,Home (private),6,3,89
8400,52,677,-73.98914337,40.75850534,2696,Hotel,40,1,48
8401,51,2664,-73.9488319,40.79437893,2688,Deli / Bodega,9,1,75
8402,77,3461,-73.94593309,40.78986319,3480,Fast Food Restaurant,74,1,75
8403,17,1430,-73.982234,40.77872162,1405,Bank,29,1,143
8404,103,4092,-73.828082,40.764123,4086,Sushi Restaurant,170,4,92
8406,4,440,-73.912507,40.766979,392,Bar,117,4,7
8409,51,239,-73.97350073,40.77142562,2664,Park,12,1,43
8411,80,774,-73.83089304,40.70961309,741,Train Station,21,4,134
8414,95,3914,-73.98887973,40.60259049,1080,Home (private),6,3,21
8416,77,3491,-73.94749443,40.78423171,3461,Drugstore / Pharmacy,7,1,263
8419,52,2701,-73.86291137,40.76465914,2694,Airport,57,4,70
8420,17,1368,-73.85429714,40.89832388,1430,Bus Station,30,2,259
8426,25,1699,-73.78896895,40.78168478,1690,Home (private),6,4,15
8428,214,1111,-73.98858547,40.75671743,251,Arcade,120,1,100
8431,80,3537,-73.95421036,40.58702393,774,Subway,0,3,210
